vid,num,label,split,label_id
--IOqc-XgYo,0,playing piano,train,3
--yJcmmwiMc,30,playing acoustic guitar,train,2
-03Hd0MBgQY,0,playing piano,train,3
-0MDgdtkV0k,10,police radio chatter,train,8
-0MDgdtkV0k,44,police radio chatter,train,8
-0X1juZHG6I,30,toilet flushing,train,1
-0_vEaaXndY,11,driving buses,train,9
-0m2awVIc8A,15,police radio chatter,train,8
-12PNUDVUjA,29,playing acoustic guitar,train,2
-1QUpHlvDM4,0,chicken crowing,train,0
-1XBP-nZ1bQ,90,playing acoustic guitar,train,2
-1dApgfibc4,0,"child speech, kid speaking",train,6
-2TjevpJuAs,30,playing acoustic guitar,train,2
-2pb2WUxF5Q,50,police radio chatter,train,8
-2xn5g7sfrU,44,basketball bounce,train,7
-3L1rzGAD_o,30,playing acoustic guitar,train,2
-3Q3Hgr5lhw,370,"child speech, kid speaking",train,6
-3ihfHTdJSI,110,chicken crowing,train,0
-3z5mFRgbxc,30,driving buses,test,9
-4ELUORuKtk,30,playing acoustic guitar,train,2
-5Zh8Ab4KX4,6,"child speech, kid speaking",train,6
-5dtmOk-Q2Q,60,playing piano,train,3
-5qzWUgsszA,540,fireworks banging,train,5
-6HhoAY9Fbs,30,playing acoustic guitar,train,2
-6gxzS2ydY4,100,fireworks banging,train,5
-6tJgFlNo-c,30,playing acoustic guitar,train,2
-8JBa54NFpU,30,playing acoustic guitar,train,2
-8Nvvo3qM-A,30,toilet flushing,train,1
-8Qb_SMa7LA,0,ocean burbling,train,4
-8YTu7ZGA2w,30,driving buses,train,9
-8cgbhIR_pw,30,playing acoustic guitar,test,2
-8ju6V8B5Oc,40,toilet flushing,train,1
-9GRE84DX2M,30,playing acoustic guitar,train,2
-9GhPxGkpio,26,driving buses,train,9
-9hqBiuwp2Y,30,playing acoustic guitar,train,2
-A3cOSeUcLM,30,chicken crowing,train,0
-ALDAj9ZcdY,30,"child speech, kid speaking",train,6
-AkYtnUbOVs,90,ocean burbling,train,4
-AoYJNdcBZg,50,"child speech, kid speaking",train,6
-BFcExBQfAk,30,playing acoustic guitar,train,2
-BZ6I5i_kW4,0,toilet flushing,train,1
-BpgDEXKdx4,30,playing acoustic guitar,train,2
-C66I4YOr4o,270,playing piano,train,3
-C96gWRdNVM,30,playing acoustic guitar,train,2
-CfhAXuBCJQ,118,basketball bounce,train,7
-DSNfC2EJhU,20,toilet flushing,train,1
-E1zyCQE3es,30,playing acoustic guitar,train,2
-EFu7tP-QEk,30,toilet flushing,train,1
-Ejdbj6I2W4,0,fireworks banging,train,5
-F6GfPwjLWo,30,toilet flushing,train,1
-FFeLquyrFQ,0,basketball bounce,train,7
-FIGpCo9VoM,30,playing acoustic guitar,train,2
-FLztWOwCRI,30,playing acoustic guitar,train,2
-FcB1UrcL0E,30,playing acoustic guitar,train,2
-FkJTqTBhDQ,30,ocean burbling,train,4
-FlSh-N35M0,30,playing piano,train,3
-FoTxwPOz3U,0,"child speech, kid speaking",test,6
-G08iN_t2QQ,30,playing acoustic guitar,train,2
-GLk6G9U09A,30,driving buses,train,9
-GR4oIdROrk,29,basketball bounce,train,7
-Glsd1Kxlvg,30,chicken crowing,train,0
-Gr9P8Abnlk,110,toilet flushing,test,1
-GxNDcOTjOg,102,basketball bounce,train,7
-GxNDcOTjOg,146,basketball bounce,train,7
-HjmhPJh54k,15,toilet flushing,train,1
-Hti5s8LP9A,30,playing acoustic guitar,train,2
-I-UtrFl4m8,10,ocean burbling,train,4
-II-7qJxKPc,21,driving buses,train,9
-IY3C-2iG7w,30,playing acoustic guitar,train,2
-IgQ4BYBLhc,0,fireworks banging,train,5
-Ii-kc3ufho,106,police radio chatter,test,8
-JJmkQYZA-4,20,chicken crowing,test,0
-KrDQXnlXRw,10,toilet flushing,train,1
-KwY9V7esWY,50,"child speech, kid speaking",train,6
-LBHWlaxWHc,30,fireworks banging,train,5
-LrNmB50-nA,30,playing acoustic guitar,train,2
-MfdheNNoKU,20,basketball bounce,train,7
-NW2pPAToFM,0,toilet flushing,train,1
-NpIi1FoTXo,30,playing piano,train,3
-OBtV-0Pvfw,30,playing acoustic guitar,train,2
-OChLdShE-Y,30,fireworks banging,train,5
-O_i9m2l_gA,30,playing acoustic guitar,train,2
-P53lJ1ViWk,30,driving buses,train,9
-PLaLa1Nds4,30,playing acoustic guitar,train,2
-QIKyCQAFkQ,30,playing acoustic guitar,train,2
-QYcCxdc5gM,30,playing acoustic guitar,train,2
-QjYRWTAMhM,30,playing acoustic guitar,train,2
-R7YU8bHwBg,20,playing piano,train,3
-RQsgdKdmoo,30,playing acoustic guitar,train,2
-RYQN6bHb-E,40,basketball bounce,train,7
-RplHnI7iqI,160,police radio chatter,train,8
-RplHnI7iqI,176,police radio chatter,train,8
-Rry0mqLHUA,20,ocean burbling,train,4
-SLFSGPQuXc,12,fireworks banging,train,5
-StBx31J1As,30,playing acoustic guitar,train,2
-StHeHGyakY,30,playing piano,train,3
-TA4R3MoDSU,0,"child speech, kid speaking",train,6
-VIDhMaXaSA,100,playing piano,train,3
-WBvJuF2UOk,30,playing acoustic guitar,train,2
-WJkFOXOqFE,6,playing acoustic guitar,train,2
-WMmf4NNcJ8,82,police radio chatter,train,8
-WcjGzWVqNU,120,basketball bounce,train,7
-Wm4-PI6U5o,30,playing piano,train,3
-XGut2JYyO0,0,fireworks banging,train,5
-XL3T2VUZ0k,30,playing acoustic guitar,train,2
-YH1Oig7K4k,460,playing piano,train,3
-YTcfKZNyEI,30,playing acoustic guitar,train,2
-YakLAKrO8c,80,"child speech, kid speaking",train,6
-Yl6CTpfAFs,3,ocean burbling,train,4
-Yrb1onhsnE,160,playing acoustic guitar,train,2
-ZJKYGb_oII,50,ocean burbling,train,4
-ZhpoluyJao,1,ocean burbling,train,4
-ZpUc4_zXHQ,30,playing acoustic guitar,train,2
-_9NSq4U3nw,298,playing acoustic guitar,train,2
-_S0oXOlgzA,30,playing acoustic guitar,train,2
-__L3T1Yv_4,0,fireworks banging,train,5
-asB1JaTIy4,30,driving buses,train,9
-awIyiZCQzc,30,playing acoustic guitar,train,2
-bUQ_kR-fGo,1,ocean burbling,train,4
-brTVDJPWrg,70,ocean burbling,train,4
-c9q-ZIQR3I,30,playing acoustic guitar,train,2
-cGXtMHD_L4,60,"child speech, kid speaking",train,6
-d6AgTYFgIE,30,playing acoustic guitar,train,2
-ezjrq_7T5Y,460,"child speech, kid speaking",train,6
-f7v4HQrYjY,30,playing acoustic guitar,train,2
-fB-3p69rjs,30,ocean burbling,train,4
-fC8_UodWjA,40,toilet flushing,train,1
-fWE_uF89cY,30,playing acoustic guitar,train,2
-gClFqWVvKg,30,playing acoustic guitar,train,2
-g_C2ZREHdo,0,basketball bounce,train,7
-gjkTeMBks8,50,fireworks banging,train,5
-gp5kXfvW5I,340,chicken crowing,train,0
-hBxP2bZq_8,0,playing acoustic guitar,train,2
-hch-89rAbc,530,playing piano,train,3
-hhnpLxJsfI,330,"child speech, kid speaking",train,6
-jFHr-IveOw,30,playing acoustic guitar,train,2
-jZENGDFArw,80,"child speech, kid speaking",test,6
-jaY3LS3Dv0,30,"child speech, kid speaking",test,6
-kZVoaYYU6o,0,driving buses,test,9
-knCgTvPqXk,12,basketball bounce,train,7
-krJ-BIUwoU,360,ocean burbling,train,4
-lXA9EUuiVQ,30,playing acoustic guitar,train,2
-lcj05dsI2Y,30,playing piano,train,3
-lhNIAPKfOo,30,playing acoustic guitar,train,2
-liObUHIFrs,30,chicken crowing,train,0
-m5SJm-7CAs,30,"child speech, kid speaking",train,6
-m7GnVjjabs,0,playing acoustic guitar,train,2
-mHN3tq6kQw,420,ocean burbling,train,4
-mWdbAp_ln8,120,"child speech, kid speaking",train,6
-mjzkxlVkZg,160,basketball bounce,train,7
-mjzkxlVkZg,233,basketball bounce,train,7
-mm4g324bU0,30,playing acoustic guitar,train,2
-moKBQV_Ltc,54,basketball bounce,train,7
-nBBzEXQ4Jg,40,ocean burbling,train,4
-nWUVq5s7cM,30,toilet flushing,train,1
-nlkWWphiaM,30,playing acoustic guitar,test,2
-oIJ4vrZTUA,50,playing piano,train,3
-oVfxy5Kwsw,194,police radio chatter,train,8
-oVfxy5Kwsw,258,police radio chatter,train,8
-pLNYFSIves,30,chicken crowing,train,0
-pTn4s4daZU,170,basketball bounce,train,7
-pn-dj0g8aM,8,basketball bounce,train,7
-qsq2azVqiY,30,playing acoustic guitar,train,2
-qzWHpYij-k,30,playing acoustic guitar,train,2
-r6ReNc9NCs,69,police radio chatter,train,8
-rCiy-9aYTE,30,playing acoustic guitar,train,2
-rwT6vwL3ZU,290,fireworks banging,train,5
-sHU_eBlh9s,30,playing acoustic guitar,train,2
-sLXskQMFWs,20,driving buses,train,9
-svl89zIevs,190,playing piano,train,3
-t7hvpjdCpY,30,playing piano,train,3
-tR54w2GEOk,30,playing acoustic guitar,train,2
-tqmyTOauGM,30,playing acoustic guitar,train,2
-tv917VfSS8,70,playing acoustic guitar,train,2
-u1FF1blIcA,30,playing acoustic guitar,train,2
-uGNLw30__A,30,playing acoustic guitar,train,2
-uKCpJHTwZ8,90,playing piano,train,3
-ueOTsxH29g,30,playing acoustic guitar,train,2
-uvVa3z00rw,10,chicken crowing,train,0
-vJw-B41tXA,30,playing acoustic guitar,train,2
-wIb1d00Fmc,80,playing acoustic guitar,train,2
-wR66VdEje4,230,fireworks banging,train,5
-wTZRGnKHs0,9,toilet flushing,train,1
-wfnaQQEPqs,30,playing acoustic guitar,train,2
-wyF3xGM95g,10,toilet flushing,train,1
-xIQ2G2zWfc,380,playing piano,train,3
-xzWsDpVEiE,60,"child speech, kid speaking",train,6
-yOoQLNqLo4,30,playing acoustic guitar,train,2
-z-09mIT8EM,0,driving buses,train,9
-zArbOb6Vr4,88,basketball bounce,train,7
-zG6ttvQE8I,190,basketball bounce,train,7
-zRR56KneIo,70,"child speech, kid speaking",train,6
-zWLNnSTYJU,310,"child speech, kid speaking",train,6
-zbs9iexPXU,30,playing acoustic guitar,train,2
-zs-euLsFTY,30,playing acoustic guitar,train,2
0-5sHWQLjps,0,ocean burbling,train,4
0-KeN5sfo-M,21,fireworks banging,train,5
0-QsvvBcReI,30,playing acoustic guitar,train,2
0-jvBXFUcEw,20,playing acoustic guitar,train,2
00SPuXJ0ri0,77,chicken crowing,train,0
00Ud7c2WEoM,30,playing acoustic guitar,train,2
00pANbTPix8,30,driving buses,train,9
02MRwKtQ_cs,0,ocean burbling,train,4
02UahUjIv5A,24,chicken crowing,train,0
02mPLSkKHA0,30,playing acoustic guitar,train,2
03-DiPMGjO4,10,driving buses,train,9
03-HWGOFvHQ,100,"child speech, kid speaking",train,6
04gvBqAkzO0,29,police radio chatter,train,8
04gvBqAkzO0,59,police radio chatter,train,8
04vdECGx-8k,30,playing acoustic guitar,train,2
052s5vlSKn0,30,playing acoustic guitar,train,2
05BlevkBrPg,30,playing acoustic guitar,train,2
05_3h--bv20,240,"child speech, kid speaking",train,6
05fWVEnDyDA,110,driving buses,train,9
05nHWSnbEHQ,0,fireworks banging,train,5
06EI6ZwgOY8,117,toilet flushing,train,1
06scpqQPjBA,30,playing acoustic guitar,train,2
07-xP_bWoDY,30,playing acoustic guitar,train,2
07tE4aqjZuE,30,chicken crowing,train,0
081Cy9LxZiQ,30,playing acoustic guitar,train,2
08AIDeqC0fU,30,playing acoustic guitar,train,2
08JeC0Vjd08,30,playing acoustic guitar,train,2
08qMontPi-0,0,"child speech, kid speaking",train,6
08wwSkZ-Jsk,80,playing acoustic guitar,train,2
095vNY1x2Pg,527,basketball bounce,train,7
09BzVkhVfTI,30,playing acoustic guitar,train,2
09S4On2TfGw,40,driving buses,train,9
09kqMqn5rWs,260,"child speech, kid speaking",test,6
09qUhBfyFcc,140,playing piano,train,3
0AkjDhg9u24,30,toilet flushing,train,1
0B7fwvTtvLM,0,basketball bounce,test,7
0BCwRXcNWGI,30,ocean burbling,train,4
0BDnRWee0NU,30,playing acoustic guitar,train,2
0BdQPL4sZvQ,20,playing piano,train,3
0CFPiVzxuWc,30,driving buses,train,9
0CT140pu8gc,30,fireworks banging,train,5
0Cl6hXpryhY,30,basketball bounce,test,7
0Cvljw2Sssk,0,basketball bounce,train,7
0E5A89NCIJE,137,basketball bounce,train,7
0E5A89NCIJE,310,basketball bounce,train,7
0E5iHTLtYWg,26,chicken crowing,train,0
0F0YvdKcUu0,40,chicken crowing,train,0
0F0YvdKcUu0,60,chicken crowing,train,0
0FOWP22OC04,128,playing piano,train,3
0G0mSrzOZ2M,400,driving buses,train,9
0G0tdsD5MFo,300,chicken crowing,train,0
0GXAEv4sa_U,30,playing acoustic guitar,train,2
0H8nV7Ay46c,110,police radio chatter,train,8
0H8nV7Ay46c,230,police radio chatter,train,8
0HWIjjmpVtY,70,toilet flushing,train,1
0HtPR-R7KVI,30,ocean burbling,train,4
0HvEfpXl5WU,472,basketball bounce,train,7
0HyL6ygGx-c,110,playing acoustic guitar,train,2
0I_4OWydbJI,440,"child speech, kid speaking",train,6
0I_olRe6ONI,30,playing acoustic guitar,train,2
0J5h0X48VWw,110,playing acoustic guitar,train,2
0JK6flOJBE8,30,driving buses,train,9
0JV0DRECUHY,28,playing acoustic guitar,train,2
0K03POngRAY,47,police radio chatter,train,8
0K03POngRAY,199,police radio chatter,train,8
0K4x8mF-73Q,540,fireworks banging,train,5
0KIC9xmmD8g,105,police radio chatter,test,8
0KVNdWwHfFU,30,playing acoustic guitar,train,2
0Ksb8i6I5uw,30,driving buses,train,9
0LkI_mSlG2A,30,playing acoustic guitar,train,2
0LkfS8grYsM,30,driving buses,train,9
0MDnsyFOtWM,30,playing acoustic guitar,train,2
0MIEAEOC-cY,30,playing acoustic guitar,train,2
0MVpGi3PjaQ,30,playing acoustic guitar,train,2
0MbqYcPAnvw,30,playing acoustic guitar,train,2
0N9EN0BEjP0,430,driving buses,test,9
0NREcrTZMU0,30,toilet flushing,train,1
0NsFWBfKsm8,30,ocean burbling,train,4
0OEJQg-W6gM,30,playing acoustic guitar,train,2
0OQv6lO50nY,490,driving buses,train,9
0OnPISPrITA,30,toilet flushing,train,1
0PGINPWtn20,20,driving buses,train,9
0PdZjLBCoh4,270,"child speech, kid speaking",train,6
0QCVJ1Xn6io,30,driving buses,train,9
0QeC0bYEi70,280,playing piano,train,3
0RFEHUrGOP0,170,playing acoustic guitar,train,2
0RL4VVwvuyQ,30,playing acoustic guitar,train,2
0Rpw7o2B0UQ,2,chicken crowing,train,0
0S1QlO3T-bI,30,ocean burbling,train,4
0TAh_dkvBg4,30,playing acoustic guitar,train,2
0TBt0al3ITY,30,chicken crowing,train,0
0TTAsOj8Mas,30,playing acoustic guitar,train,2
0U2wg5Q34-s,2,toilet flushing,train,1
0U6ebFYFPjk,30,chicken crowing,train,0
0UVybxVapyA,100,fireworks banging,train,5
0UgX-teD-hw,70,basketball bounce,train,7
0UxedyHm80Y,30,playing acoustic guitar,train,2
0VMe1reP0jI,30,playing acoustic guitar,train,2
0VU0xMqlFwc,360,fireworks banging,train,5
0VcpwWEgHc4,12,toilet flushing,train,1
0WFTQwrbxR4,30,playing acoustic guitar,train,2
0WWoK3G70Bw,30,ocean burbling,train,4
0WZ3aV7YfSM,50,"child speech, kid speaking",train,6
0WcWOB-wOJ0,120,playing acoustic guitar,train,2
0WhHTKvpUc8,30,playing acoustic guitar,train,2
0WoWLoACt-Y,130,playing piano,train,3
0X3nIJ-4ZHY,0,"child speech, kid speaking",train,6
0X9YHhl5m5w,280,ocean burbling,train,4
0XbqYXFS3I0,10,driving buses,train,9
0Y-weqqGWF8,0,"child speech, kid speaking",train,6
0YR-Bfkyfe8,30,playing acoustic guitar,train,2
0Y_aNARlRkc,30,ocean burbling,train,4
0ZIv7FicA9g,30,playing acoustic guitar,train,2
0ZhfGqLHByY,1,fireworks banging,train,5
0_2xJu9dH3o,67,toilet flushing,train,1
0_2xJu9dH3o,193,toilet flushing,train,1
0_EUsss6HXY,80,ocean burbling,train,4
0_I6B2Z0rE4,54,chicken crowing,train,0
0_WMZB4Xc5o,30,toilet flushing,train,1
0_aBTjjlZKQ,410,driving buses,train,9
0_ppreuPMuk,170,playing piano,train,3
0aGA6Xdx-B0,17,driving buses,train,9
0aR6VpV7ymk,30,"child speech, kid speaking",train,6
0aU7UzFhzZA,0,ocean burbling,train,4
0aZ3vvM4V34,10,toilet flushing,train,1
0b5pY41n1XI,3,chicken crowing,train,0
0b5pY41n1XI,54,chicken crowing,train,0
0ci6Xyw7f1w,80,"child speech, kid speaking",train,6
0cvPbD8PRxM,240,playing piano,train,3
0d3oGHZohrY,0,fireworks banging,train,5
0d6YcY-uBgI,30,playing acoustic guitar,train,2
0dXZ3pyav9k,144,basketball bounce,train,7
0dbb7RX2K60,30,playing acoustic guitar,train,2
0dcOangSEr0,30,playing acoustic guitar,train,2
0ddWYr_zQ1E,380,chicken crowing,train,0
0dwf7HFTFD8,14,playing acoustic guitar,train,2
0f4vjA3OTtI,60,basketball bounce,train,7
0fL9V_y32aA,19,chicken crowing,train,0
0fMXnvD38zI,50,ocean burbling,train,4
0fdwOEPfznk,30,playing acoustic guitar,train,2
0g7LdehGzkc,30,playing acoustic guitar,train,2
0gWZPaoH3pA,0,"child speech, kid speaking",train,6
0gkY8t5O7_A,30,playing acoustic guitar,train,2
0haq15HEi-0,150,playing acoustic guitar,train,2
0ioRPfQzAW0,30,playing acoustic guitar,train,2
0jPN5nGZ1zQ,30,playing acoustic guitar,train,2
0jc73rjot9g,440,basketball bounce,train,7
0jlRvgyDAXU,30,playing acoustic guitar,train,2
0jxMP_iGilI,150,playing acoustic guitar,train,2
0kHoNbSRe4Q,30,playing acoustic guitar,train,2
0kqEsCxruFQ,37,police radio chatter,train,8
0kqEsCxruFQ,51,police radio chatter,train,8
0lDi5WzL3Wk,0,driving buses,train,9
0lPcHRhXlWk,30,driving buses,test,9
0lRTO94eWgc,70,playing acoustic guitar,train,2
0lv-e1BetzM,80,ocean burbling,train,4
0m4cg0rHCvA,5,police radio chatter,train,8
0m4cg0rHCvA,103,police radio chatter,train,8
0mj46Xhzx1Y,10,toilet flushing,train,1
0ml4dIfcnKg,30,driving buses,train,9
0oDZtNnPtmw,93,toilet flushing,train,1
0pPUnHDRRnI,30,driving buses,train,9
0pog2KWcd9c,10,toilet flushing,train,1
0pvUhfS5wT0,6,police radio chatter,train,8
0pwEo8iWucM,30,playing acoustic guitar,train,2
0q_Sqz88QQc,30,driving buses,train,9
0qkYNx83dz8,10,playing acoustic guitar,train,2
0qlT_eblMAU,80,chicken crowing,train,0
0rqsJxfvV-k,384,police radio chatter,train,8
0rqsJxfvV-k,464,police radio chatter,train,8
0s1uXHl5_8k,30,chicken crowing,train,0
0sP5oxUIwPs,30,playing acoustic guitar,train,2
0saGA7KmMM4,40,basketball bounce,train,7
0seofZmF350,270,driving buses,train,9
0suFvKAWJnU,10,toilet flushing,train,1
0tEX2Pdlg6k,30,playing acoustic guitar,train,2
0tOG8NWvWro,30,driving buses,train,9
0tddBX9hYLA,30,playing acoustic guitar,train,2
0ulm4Jt--lQ,30,playing piano,train,3
0um2ui52eyo,60,toilet flushing,train,1
0upP8cF_LY0,17,chicken crowing,train,0
0v15xCmKqYo,78,police radio chatter,train,8
0v15xCmKqYo,92,police radio chatter,train,8
0vI8XMhHB-M,23,fireworks banging,train,5
0vYMcK228YM,0,playing acoustic guitar,train,2
0w8Oc761btU,80,playing piano,train,3
0wAN5P5HYZc,169,basketball bounce,train,7
0wxS0zlMnag,160,playing piano,train,3
0yiVFOepo6w,30,playing acoustic guitar,train,2
0ypJ0gFW1T8,53,police radio chatter,train,8
0ypJ0gFW1T8,70,police radio chatter,train,8
0yrlBmaXiFE,30,playing acoustic guitar,train,2
0yt7yNQPIs4,80,fireworks banging,train,5
0z5TRiOKlX4,20,toilet flushing,train,1
0z7Uj0o2QZI,40,fireworks banging,train,5
0zCvELXehEM,30,playing acoustic guitar,train,2
0zJG24UrLNQ,30,basketball bounce,train,7
1-3d72LSuTA,30,playing acoustic guitar,train,2
1-3nedESLZs,30,playing piano,train,3
1-T4A6yQDE0,67,chicken crowing,train,0
1-lijp6qHHs,80,fireworks banging,train,5
10-BgjqSoaE,80,toilet flushing,train,1
10aBef0Ghkc,40,playing piano,test,3
1135eQaRmVQ,25,driving buses,train,9
11JTJe1Hj2k,30,playing acoustic guitar,train,2
11VKOVeZnRs,30,playing acoustic guitar,train,2
11l5PiEsoGY,30,playing acoustic guitar,train,2
11ruZHgyTKM,30,chicken crowing,test,0
12eCYoZHQl4,30,playing acoustic guitar,train,2
12strDpljJo,30,playing acoustic guitar,train,2
13HmZKDTOsw,10,playing acoustic guitar,train,2
13OuCxs_D-Y,10,toilet flushing,train,1
13vAOyNqbeU,150,playing acoustic guitar,train,2
14XML4NbS38,5,chicken crowing,test,0
